Words,Frequency
"elecciones4m, madrid, eleccionesmadrid, 4m, eleccionesmadrid2021",4045
"amenaza, iglesias, navaja, maroto, muerte",3311
"pucherazo, vox, correos, si, elecciones",3293
"elecciones4m, madrid, eleccionesmadrid, 4m, ayuso",3137
"4m, vota, madrid, el, votar",2959
"castillayleón, 4m, presidentilla, elecciones, castillayleon",2190
"fraude, indra, sueldo, vitalicio, petro",1536
"zendal, madrid, 40, contagios, hospital",1169
"4m, madrid, el, vota, votar",922
"vox, correos, pucherazo, tickets, votado",612
